x-axis,1,2,3
second,Volt,Volt,Volt
-185.000E-06,,,
-182.900E-06,-9.045226E-03,-1.005025E-03,-201.005027E-03
-180.800E-06,+0.0E+00,-2.512563E-03,+0.0E+00
-178.700E-06,-16.080402E-03,-17.085427E-03,-201.005027E-03
-176.600E-06,-24.120603E-03,+5.025126E-03,-201.005027E-03
-174.500E-06,+0.0E+00,+0.0E+00,-163.316584E-03
-172.400E-06,-8.040201E-03,-8.040201E-03,-201.005027E-03
-170.300E-06,-5.025126E-03,-8.040201E-03,-25.125628E-03
-168.200E-06,-13.065326E-03,+0.0E+00,-201.005027E-03
-166.100E-06,-16.080402E-03,+0.0E+00,-25.125628E-03
-164.000E-06,-13.065326E-03,-13.065326E-03,-201.005027E-03
-161.900E-06,-8.040201E-03,-8.040201E-03,-25.125628E-03
-159.800E-06,-21.105527E-03,-13.065326E-03,-201.005027E-03
-157.700E-06,-25.125628E-03,+0.0E+00,-201.005027E-03
-155.600E-06,-8.040201E-03,-10.552764E-03,-201.005027E-03
-153.500E-06,-16.080402E-03,-6.532663E-03,-201.005027E-03
-151.400E-06,-10.552764E-03,-24.120603E-03,-125.628142E-03
-149.300E-06,-16.080402E-03,-16.080402E-03,-163.316584E-03
-147.200E-06,-24.120603E-03,-10.552764E-03,-201.005027E-03
-145.100E-06,-16.080402E-03,-17.085427E-03,-201.005027E-03
-143.000E-06,-10.552764E-03,+8.040201E-03,-201.005027E-03
-140.900E-06,+8.040201E-03,+0.0E+00,-201.005027E-03
-138.800E-06,-5.025126E-03,-16.080402E-03,-62.814071E-03
-136.700E-06,-1.005025E-03,-1.005025E-03,-201.005027E-03
-134.600E-06,-8.040201E-03,+8.040201E-03,-125.628142E-03
-132.500E-06,-14.572864E-03,+0.0E+00,-201.005027E-03
-130.400E-06,-8.040201E-03,-8.040201E-03,-402.010053E-03
-128.300E-06,-9.045226E-03,+0.0E+00,-62.814071E-03
-126.200E-06,-8.040201E-03,+5.025126E-03,-62.814071E-03
-124.100E-06,-6.532663E-03,-16.080402E-03,-163.316584E-03
-122.000E-06,-2.512563E-03,-8.040201E-03,-263.819098E-03
-119.900E-06,-16.080402E-03,-6.532663E-03,-201.005027E-03
-117.800E-06,+0.0E+00,+5.025126E-03,-125.628142E-03
-115.700E-06,-14.572864E-03,-8.040201E-03,-25.125628E-03
-113.600E-06,-8.040201E-03,-13.065326E-03,-62.814071E-03
-111.500E-06,-14.572864E-03,+8.040201E-03,-201.005027E-03
-109.400E-06,-5.025126E-03,-5.025126E-03,-125.628142E-03
-107.300E-06,-6.532663E-03,-8.040201E-03,-201.005027E-03
-105.200E-06,-18.592965E-03,-8.040201E-03,-62.814071E-03
-103.100E-06,-14.572864E-03,-22.613065E-03,-25.125628E-03
-101.000E-06,+5.025126E-03,-13.065326E-03,-201.005027E-03
-98.900E-06,-9.045226E-03,+0.0E+00,-364.321611E-03
-96.800E-06,-13.065326E-03,-8.040201E-03,-263.819098E-03
-94.700E-06,-9.045226E-03,-16.080402E-03,-25.125628E-03
-92.600E-06,-2.512563E-03,+0.0E+00,-62.814071E-03
-90.500E-06,-8.040201E-03,-8.040201E-03,-201.005027E-03
-88.400E-06,-2.512563E-03,+0.0E+00,-62.814071E-03
-86.300E-06,-1.005025E-03,-1.005025E-03,-201.005027E-03
-84.200E-06,+2.512563E-03,-2.512563E-03,-125.628142E-03
-82.100E-06,-13.065326E-03,-8.040201E-03,-226.130655E-03
-80.000E-06,-24.120603E-03,+0.0E+00,-201.005027E-03
-77.900E-06,-8.040201E-03,+8.040201E-03,-201.005027E-03
